venue,symbol,underlying,quote_ccy,option_type,strike,expiry_utc,T_years,spot,mark,bid,ask,iv,oi,volume,raw_timestamp_utc,fetch_timestamp_utc,mid,ba_spread_pct,intrinsic_put,intrinsic_call,below_intrinsic_flag
lyra,SOL-20260417-81-P,SOL,USD,put,81.0,2026-04-17T00:00:00+00:00,0.007167020654648655,86.2,0.2,0.0,0.0,0.5874,0.0,0.0,2026-04-14T09:13:31.142000+00:00,2026-04-14T09:13:00.836635+00:00,,,0.0,,False
lyra,SOL-20260417-87-P,SOL,USD,put,87.0,2026-04-17T00:00:00+00:00,0.007167020654648655,86.2,2.0,250.0,250.0,0.54239,0.0,0.0,2026-04-14T09:13:25.436000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,0.7999999999999972,,False
lyra,SOL-20260417-85-C,SOL,USD,call,85.0,2026-04-17T00:00:00+00:00,0.007167020654648655,86.2,2.4,250.0,250.0,0.55619,100.0,0.0,2026-04-14T09:13:26.044000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,,1.2000000000000028,False
lyra,SOL-20260417-90-P,SOL,USD,put,90.0,2026-04-17T00:00:00+00:00,0.007167020654648655,86.2,4.2,250.0,250.0,0.56343,0.0,0.0,2026-04-14T09:13:25.334000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,3.799999999999997,,False
lyra,SOL-20260417-78-C,SOL,USD,call,78.0,2026-04-17T00:00:00+00:00,0.007167020654648655,86.2,8.3,0.0,0.0,0.61103,0.0,0.0,2026-04-14T09:13:24.728000+00:00,2026-04-14T09:13:00.836635+00:00,,,,8.200000000000003,False
lyra,SOL-20260417-86-C,SOL,USD,call,86.0,2026-04-17T00:00:00+00:00,0.007167020654648655,86.2,1.8,250.0,250.0,0.54875,0.0,0.0,2026-04-14T09:13:32.309000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,,0.20000000000000284,False
lyra,SOL-20260424-78-C,SOL,USD,call,78.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,9.1,0.0,0.0,0.66508,0.0,0.0,2026-04-14T09:13:24.931000+00:00,2026-04-14T09:13:00.836635+00:00,,,,8.200000000000003,False
lyra,SOL-20260424-140-P,SOL,USD,put,140.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,53.6,0.0,0.0,0.83056,0.0,0.0,2026-04-14T09:13:26.044000+00:00,2026-04-14T09:13:00.836635+00:00,,,53.8,,True
lyra,SOL-20260424-85-C,SOL,USD,call,85.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,3.8,250.0,250.0,0.55659,10.099,0.0,2026-04-14T09:13:32.763000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,,1.2000000000000028,False
lyra,SOL-20260424-92-C,SOL,USD,call,92.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,1.2,250.0,250.0,0.58148,0.0,0.0,2026-04-14T09:13:23.564000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,,0.0,False
