alpha_rv,alpha_ivrv,k_lin,k_quad,yield_share_to_rt,max_utilization,lp_mean_%,lp_med_%,rt_mean_%,rt_cap_growth_%,premium_over_fv_mean,viable
0.1,0.3,0.18,0.34,0.05,0.6,-0.002444979175596036,1.4289619332547416,0.14061052745619723,14.871020130872758,0.8641071097640846,False
0.1,0.3,0.18,0.34,0.05,0.7,-0.16372938033678042,1.395955464884941,0.14766191417266095,15.694883693000117,0.8996257647522353,False
0.1,0.3,0.18,0.34,0.05,0.8,-0.19403319698959196,1.3754244357827112,0.14582587892665333,15.45486926486146,0.8731222458411612,False
0.1,0.3,0.18,0.34,0.08,0.6,-0.20832463403226367,1.300986493987175,0.14579872021521673,15.570690133025034,0.8729351619306691,False
0.1,0.3,0.18,0.34,0.08,0.7,-0.22839856401310152,1.3134554648849468,0.14212482899431128,15.161679362489533,0.8998468295971612,False
0.1,0.3,0.18,0.34,0.08,0.8,-0.24156271367011378,1.313455464884945,0.14499626394052756,15.39860852318007,0.8996257647522353,False
0.1,0.3,0.18,0.34,0.12,0.6,-0.3086453761247958,1.1719373725223061,0.14709076527943216,15.586114076667856,0.8374865124322741,False
0.1,0.3,0.18,0.34,0.12,0.7,-0.30572166856677796,1.2093591677299098,0.1455556670767016,15.429715168281222,0.8725143327993989,False
0.1,0.3,0.18,0.34,0.12,0.8,-0.2519552006723559,1.209359167729911,0.14666263526349899,15.56633404327361,0.8906377918149956,False
0.1,0.3,0.18,0.34,0.15,0.6,-0.37694010917659243,1.0897046431507982,0.1519722511087833,16.25079650274346,0.863412927077135,False
0.1,0.3,0.18,0.34,0.15,0.7,-0.2714445500130391,1.0897046431507982,0.15395014572464,16.312404238616416,0.880885453431635,False
0.1,0.3,0.18,0.34,0.15,0.8,-0.2695944546604005,1.0897046431508033,0.14818296388535232,15.699512775446811,0.8618755624038988,False
0.1,0.3,0.26,0.1,0.05,0.6,-0.20061883222068788,1.3959554648849464,0.1442217925645971,15.292364534763081,0.8820637603679569,False
0.1,0.3,0.26,0.1,0.05,0.7,-0.1755886237270346,1.3754244357827183,0.14506222313412492,15.34768153041477,0.8900122338349138,False
0.1,0.3,0.26,0.1,0.05,0.8,-0.11134099486730872,1.4414373725223086,0.15160590788797748,16.17825521849754,0.8719151365614599,False
0.1,0.3,0.26,0.1,0.08,0.6,-0.2852396750921575,1.300986493987175,0.14875799530393835,15.819120706048695,0.872471169048531,False
0.1,0.3,0.26,0.1,0.08,0.7,-0.2411896479296371,1.3134554648849468,0.14075830708278464,14.966223273514,0.8996689381546625,False
0.1,0.3,0.26,0.1,0.08,0.8,-0.22352690419921364,1.325937372522306,0.14687531165228063,15.57320981852046,0.8735586516444512,False
0.1,0.3,0.26,0.1,0.12,0.6,-0.41396660196416246,1.1125260197269675,0.1419573238604213,15.049417616827721,0.826646311200561,False
0.1,0.3,0.26,0.1,0.12,0.7,-0.3529630972344071,1.1469864939871743,0.1471667287237378,15.653484783086569,0.89113044977428,False
0.1,0.3,0.26,0.1,0.12,0.8,-0.28414486185429844,1.1594619332547418,0.14876767351128367,15.74860331717347,0.8815837187489325,False
0.1,0.3,0.26,0.1,0.15,0.6,-0.43577668901397976,1.0855501185716867,0.1456925436297741,15.434357653361829,0.8900585284791845,False
0.1,0.3,0.26,0.1,0.15,0.7,-0.3484138806992038,1.0855501185716867,0.152564929524731,16.241315989740613,0.8534993523646367,False
0.1,0.3,0.26,0.1,0.15,0.8,-0.44901195103129204,1.057001920882237,0.15764084957798086,16.79674134202831,0.8723701748790965,False
