lp_mean_%,lp_med_%,rt_mean_%,rt_p5_%,m_vol_mean,m_amm_mean,imbalance_mean,imbalance_p95,alpha_rv,alpha_ivrv,k_lin,k_quad,yield_share_to_rt,max_utilization,strict_feasible,robust_feasible,score
0.3718664803028599,0.7013924957927704,0.002234656385005501,-0.019051814326388236,1.155876892042064,0.800575648523995,-0.9980797287720821,-0.9967771310761883,0.1,0.4,0.1,0.1,0.05,0.6,True,True,0.11980558485428613
0.6199249419786036,0.7761043010693336,0.0018541123287268747,-0.025057914707541627,1.1809064708959884,0.75,-0.9987317514444262,-0.9978296749316133,0.1,0.2,0.2,0.1,0.15,0.8,True,True,0.11212671089005921
0.6051982647169181,0.7815454410238297,0.013473065356125248,-0.023896853323244274,1.3901822519391713,0.75,-0.9971532138843017,-0.9955169206748677,0.2,0.3,0.3,0.2,0.15,0.7,True,True,0.11180720181497072
0.3595468370534922,0.41178194422283104,0.0029593428797332756,-0.013149923408414824,1.3337831017706958,0.8003610322756227,-0.998796028397753,-0.998105149438627,0.3,0.2,0.1,0.1,0.05,0.7,True,True,0.1096432405239198
0.6161920251785666,0.8219834915839502,0.0005207542871053255,-0.020890643874654332,1.1642301518365383,0.75,-0.9988569394136173,-0.9979875801711513,0.1,0.3,0.3,0.1,0.05,0.8,True,True,0.10846067277323135
0.604531180196797,1.1553737375344522,0.003971308885339226,-0.01939415815517578,1.1539085988986548,0.75,-0.9980961215456523,-0.9965727587105211,0.1,0.4,0.1,0.2,0.05,0.6,True,True,0.10153908759713381
0.5968944278811934,0.7561422859513532,0.009227958972504332,-0.020370342659531956,1.1563246999575296,0.75,-0.997835589367948,-0.9957883195659183,0.1,0.4,0.1,0.2,0.05,0.8,True,True,0.09981984158438584
0.6023170428522017,0.7494508349259523,0.0033793517996205105,-0.023455482709525948,1.1666760742993956,0.75,-0.9975457390508274,-0.9952109061693252,0.1,0.3,0.3,0.1,0.05,0.7,True,True,0.09699007192793585
0.34777052700586075,0.15246397733546815,0.00257770791275696,-0.01828548713147196,1.1681392064196539,0.8005522468202527,-0.998157898346825,-0.9969257571625122,0.1,0.2,0.1,0.1,0.15,0.6,True,True,0.09631081574984393
0.5968904878757357,0.6215158844145091,0.005838907014788857,-0.024306208240629023,1.1635682577131685,0.75,-0.9977622104488547,-0.995835664512969,0.1,0.3,0.1,0.2,0.15,0.7,True,True,0.0941746929972308
0.5911426814568904,1.1678905610312142,0.007859212905828295,-0.020946253873345637,1.370377541378157,0.75,-0.9981407286372915,-0.9967455971457596,0.2,0.3,0.1,0.2,0.05,0.7,True,True,0.0921952353945461
