alpha_rv,alpha_ivrv,k_lin,k_quad,yield_share_to_rt,max_utilization,score,lp_mean_%,rt_mean_%,rt_p5_%,m_amm_mean,strict_feasible,robust_feasible
0.1,0.4,0.3,0.2,0.15,0.6,-0.059233046807011414,0.44967459952853633,0.002243221408305961,-0.0289987800637872,0.75,True,True
0.2,0.4,0.1,0.2,0.1,0.8,-0.06723703232004374,0.4345218826501866,0.005362467413891665,-0.020484689667250876,0.75,True,True
0.1,0.2,0.1,0.2,0.15,0.6,-0.06752489606927825,0.4352559779171199,0.007154746805885788,-0.02841642538365272,0.75,True,True
0.3,0.2,0.1,0.1,0.1,0.7,-0.06785804630560704,0.17295159964658727,0.01194702888776959,-0.02125186707506727,0.8006709332425018,True,True
0.1,0.3,0.2,0.1,0.1,0.8,-0.06814674792336683,0.4383866805089427,0.0018173094954009631,-0.02178549956697663,0.75,True,True
0.2,0.3,0.3,0.2,0.1,0.8,-0.07519554189596384,0.42525818531526405,0.009041441789767636,-0.028258643397372617,0.75,True,True
0.1,0.2,0.3,0.1,0.05,0.7,-0.0770849587977126,0.4264988327196341,0.003462463675120767,-0.01934686981872904,0.75,True,True
0.1,0.2,0.2,0.1,0.1,0.6,-0.08159772475179672,0.42300925237360376,0.006008333484767883,-0.029542443267804933,0.75,True,True
0.1,0.2,0.3,0.1,0.05,0.8,-0.08231885452791499,0.42561983921638336,0.006832491180428502,-0.04034420790203139,0.75,True,True
0.1,0.4,0.3,0.1,0.05,0.8,-0.10068801998235166,0.4022313431007512,0.008502722636193012,-0.03280657561633614,0.75,True,True
0.2,0.4,0.2,0.2,0.1,0.8,-0.1014325091984899,0.3984361638990624,0.004147458177926007,-0.012114057277658801,0.75,True,True
0.1,0.2,0.2,0.1,0.1,0.8,-0.10247632424013514,0.3981350575435914,0.002519787661975577,-0.00908781744524318,0.75,True,True
0.2,0.4,0.2,0.2,0.05,0.7,-0.10693309608663437,0.38605466453583503,0.013326136298364866,-0.022447810451268105,0.75,True,True
0.3,0.4,0.1,0.1,0.15,0.6,-0.10970952321532043,0.12981964331150012,0.009848884651731032,-0.013399197661703673,0.8008023701911567,True,True
0.3,0.4,0.2,0.1,0.15,0.6,-0.10971443581150264,0.3837387325507842,0.012773758206089501,-0.021954195523985566,0.75,True,True
0.2,0.4,0.2,0.2,0.05,0.6,-0.1100230393880795,0.3882612003501737,0.009011533341123272,-0.022745199369002756,0.75,True,True
0.1,0.4,0.2,0.2,0.15,0.8,-0.11394551380240797,0.3908295849782829,0.0031421842580011392,-0.02136429972573064,0.75,True,True
0.3,0.4,0.3,0.2,0.1,0.8,-0.11586110544616357,0.3798854792326281,0.011029547736359353,-0.022455104906057257,0.75,True,True
0.1,0.3,0.1,0.1,0.05,0.7,-0.11589211782443878,0.13598292931861722,0.0008881574934337284,-0.010589654457498704,0.8002590051295646,True,True
0.1,0.3,0.3,0.2,0.05,0.6,-0.11623252049461508,0.38381351668420394,0.009461677238081199,-0.028500124661291135,0.75,True,True
0.3,0.4,0.3,0.2,0.15,0.7,-0.12323391879172052,0.3716877551423392,0.00943330553724229,-0.01560410144687626,0.75,True,True
0.1,0.3,0.2,0.2,0.15,0.6,-0.12777090100144106,0.3868619707900982,5.387251368885795e-05,-0.036743797019914703,0.75,True,True
0.3,0.3,0.1,0.2,0.15,0.8,-0.130260746482306,0.3638465412637776,0.010691674017781427,-0.017343241418553226,0.75,True,True
0.3,0.3,0.2,0.2,0.15,0.7,-0.13040996122407822,0.3547751001867436,0.015261072790222058,-0.00874587189772064,0.75,True,True
0.1,0.3,0.1,0.1,0.1,0.6,-0.1329049292107346,0.11143092963334794,0.00856611839593253,-0.020710756378222516,0.8007338203264175,True,True
0.2,0.3,0.1,0.1,0.1,0.8,-0.13423827964070664,0.11052642555096738,0.009714129420117809,-0.023288225686483834,0.8005787259557556,True,True
0.1,0.2,0.3,0.1,0.1,0.6,-0.1419671216477561,0.36369012487030894,0.001338478600811155,-0.01815855209759609,0.75,True,True
0.2,0.3,0.3,0.1,0.15,0.8,-0.16262955824025854,0.3357653562127203,0.004299056390873226,-0.008884455305066792,0.75,True,True
0.1,0.3,0.2,0.1,0.05,0.7,-0.1710852174939046,0.3301931681210577,0.001676763871196482,-0.008226255650995199,0.75,True,True
0.1,0.2,0.2,0.1,0.15,0.7,-0.18632760033761314,0.31934250862371255,0.0028769774064000895,-0.02280620462251456,0.75,True,True
0.1,0.3,0.1,0.1,0.05,0.6,-0.18819065864437812,0.06474259282618444,0.0031290920989542935,-0.027297067419542215,0.8008461329957018,True,True
0.1,0.4,0.3,0.1,0.15,0.6,-0.1883253759970573,0.31807784573300685,0.0024322990192104316,-0.023304951382791622,0.75,True,True
0.1,0.4,0.2,0.1,0.15,0.8,-0.18950915295326348,0.31603703749692,0.0015865085578145033,-0.018625001798902308,0.75,True,True
0.1,0.2,0.3,0.1,0.1,0.7,-0.19209631923179182,0.31280116528196134,0.003669584526067215,-0.023252464862584556,0.75,True,True
0.2,0.3,0.3,0.1,0.1,0.7,-0.20205019517412937,0.2934513578834425,0.010464832297654726,-0.02014837953689386,0.75,True,True
0.3,0.2,0.3,0.1,0.1,0.8,-0.20797867447894552,0.2849685891866659,0.013362343367855228,-0.022455189267594208,0.75,True,True
0.2,0.2,0.1,0.2,0.1,0.6,-0.21085114895764734,0.2823999653684744,0.012351926465756696,-0.020183565212574327,0.75,True,True
0.2,0.4,0.1,0.1,0.05,0.6,-0.21656931423066322,0.03424474535021695,0.0028858094267344377,-0.015586549345927554,0.8003915177690819,True,True
0.1,0.3,0.2,0.2,0.1,0.6,-0.21865487856141602,0.28369614177231806,0.0019421959726540771,-0.011704138752297434,0.75,True,True
0.1,0.3,0.2,0.2,0.15,0.7,-0.22642114016709536,0.2797886068350551,0.0008381494304688076,-0.018038815796782535,0.75,True,True
